# _tick,_time,frames,total_loss,frames,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss
278,1645381734.13702,889600,41.3759460449219,889600,0,-0.320338785648346,0.020602427423,-0.089294143021107,0,0.000916866119951,0.000916866119951,0.014630970545113,0.541710674762726,23.7649688720703,18.0000095367432
279,1645381757.82403,892800,37.7892074584961,892800,0,0.040674708783627,0.011691391468048,-0.088092863559723,0,0.000926750013605,0.000926750013605,0.014971578493714,0.52681291103363,19.5797424316406,18.2451915740967
280,1645381780.54146,896000,42.1057243347168,896000,0,-0.042983688414097,0.018854225054383,-0.088675923645496,0,0.000940315658227,0.000940315658227,0.015016152523458,0.527031302452087,24.3485565185547,17.8699741363525
281,1645381801.94585,899200,35.0606460571289,899200,0,0.054120022803545,0.022546583786607,-0.089396119117737,0,0.000879880739376,0.000879880739376,0.013713940046728,0.535426020622253,17.1185646057129,17.9548110961914
282,1645381823.97931,902400,42.4768409729004,902400,0,0.245925575494766,0.016402274370194,-0.089725829660893,0,0.000930048001464,0.000930048001464,0.014834645204246,0.532880008220673,24.4020233154297,17.9022159576416
283,1645381846.05193,905600,35.8320388793945,905600,0,-0.181848645210266,0.011131751351059,-0.088244155049324,0,0.000947860535234,0.000947860535234,0.01453615911305,0.540004551410675,18.0273399353027,18.0636577606201
284,1645381867.5812,908800,42.4586791992188,908800,0,0.36078554391861,0.009095411747694,-0.085670791566372,0,0.000986630795524,0.000986630795524,0.015636365860701,0.542236566543579,24.4008750915527,17.7735939025879
285,1645381889.0989,912000,33.1288223266602,912000,0,-0.886916399002075,0.016444582492113,-0.085423089563847,0,0.000865412410349,0.000865412410349,0.014458116143942,0.520373404026032,16.7724933624268,17.3122234344482
286,1645381912.12342,915200,41.4072685241699,915200,0,1.2182981967926,0.014339527115226,-0.085096634924412,0,0.000954274146352,0.000954274146352,0.01541346218437,0.545236229896545,23.1616115570068,17.0981159210205
287,1645381933.15388,918400,32.2247543334961,918400,0,-2.32293725013733,0.027520041912794,-0.084080874919891,0,0.000892087002285,0.000892087002285,0.015271557494998,0.522321343421936,17.5318336486816,17.0724201202393
288,1645381954.38426,921600,44.3276443481445,921600,0,2.606853723526,0.018213676288724,-0.080816201865673,0,0.001052803825587,0.001052803825587,0.017105855047703,0.537277817726135,24.734001159668,17.0493927001953
289,1645381976.27423,924800,35.3094329833984,924800,0,-1.75398981571198,0.041485320776701,-0.084029093384743,0,0.001206796732731,0.001206796732731,0.020213151350618,0.544553518295288,20.7744998931885,16.3314666748047
290,1645381997.7072,928000,43.9885711669922,928000,0,0.672960042953491,0.010388572700322,-0.087199248373509,0,0.001200793194585,0.001200793194585,0.01852884888649,0.560804188251495,26.2397041320801,17.1527156829834
291,1645382019.54458,931200,33.222053527832,931200,0,-1.48011815547943,0.021610129624605,-0.088473066687584,0,0.000832409365103,0.000832409365103,0.013642612844706,0.52495527267456,16.9095401763916,17.8594951629639
292,1645382040.47771,934400,42.1389541625977,934400,0,0.918041229248047,0.014586267061532,-0.088345967233181,0,0.000861740496475,0.000861740496475,0.014091176912189,0.519944906234741,23.3631973266602,17.9314746856689
293,1645382062.40899,937600,34.6026229858398,937600,0,-0.802050113677979,0.01825931109488,-0.089241281151772,0,0.000901818450075,0.000901818450075,0.014392801560462,0.525224924087524,17.6710109710693,17.8046417236328
294,1645382086.16222,940800,40.6126480102539,940800,0,0.057662278413773,0.011365716345608,-0.088493019342423,0,0.000849600939546,0.000849600939546,0.013497357256711,0.532406389713287,22.6705150604248,17.961597442627
295,1645382107.86316,944000,39.8904647827148,944000,0,0.821881294250488,0.027189830318093,-0.08664570748806,0,0.001119956606999,0.001119956606999,0.018097300082445,0.543480396270752,21.3629837036133,17.7650547027588
296,1645382129.59213,947200,43.2219009399414,947200,0,0.27633860707283,0.029085261747241,-0.085729494690895,0,0.00117082381621,0.00117082381621,0.017942409962416,0.568793833255768,25.5222225189209,17.4799861907959
297,1645382152.16046,950400,34.384937286377,950400,0,-0.540791630744934,0.014398275874555,-0.088575839996338,0,0.000926117587369,0.000926117587369,0.014824687503278,0.534034490585327,17.5520668029785,17.4478397369385
298,1645382174.44709,953600,43.8746948242188,953600,0,0.651937186717987,0.014225845225155,-0.088670961558819,0,0.00104827049654,0.00104827049654,0.016610216349363,0.547256410121918,25.5238552093506,17.7733478546143
299,1645382196.80971,956800,39.1070938110352,956800,0,0.097216948866844,0.022887427359819,-0.087154679000378,0,0.001120543573052,0.001120543573052,0.017966890707612,0.544994115829468,21.2649688720703,17.8091735839844
300,1645382219.12508,960000,40.694953918457,960000,0,-0.298110514879227,0.01440363842994,-0.086732648313046,0,0.000956479809247,0.000956479809247,0.015173086896539,0.540761172771454,23.6584777832031,17.4069137573242
301,1645382240.61393,963200,37.446403503418,963200,0,0.649925112724304,0.010779862292111,-0.083318866789341,0,0.001024632947519,0.001024632947519,0.016153192147613,0.547592759132385,19.2694931030273,17.5995254516602
302,1645382262.81079,966400,42.2094879150391,966400,0,-0.580991685390472,0.029525339603424,-0.083273090422154,0,0.001111653866246,0.001111653866246,0.018556691706181,0.541999816894531,26.0178260803223,16.8264007568359
303,1645382284.65611,969600,36.5889739990234,969600,0,1.38599491119385,0.0215157661587,-0.08404316008091,0,0.00102790875826,0.00102790875826,0.016691086813808,0.540813386440277,18.3168258666992,16.9486808776855
304,1645382305.72207,972800,37.8688430786133,972800,0,-2.87136888504028,0.046244155615568,-0.083983980119228,0,0.000985639868304,0.000985639868304,0.015687663108111,0.547384977340698,23.5138893127441,17.2640647888184
305,1645382327.01388,976000,35.8398895263672,976000,0,2.75586819648743,0.017024751752615,-0.083586618304253,0,0.000840277178213,0.000840277178213,0.013809024356306,0.526418745517731,15.9405002593994,17.2100849151611
306,1645382348.76821,979200,37.8177223205566,979200,0,-1.42037832736969,0.021406108513475,-0.085904769599438,0,0.000854630721733,0.000854630721733,0.014339178800583,0.525919497013092,22.4302711486816,16.8723278045654
307,1645382370.2466,982400,35.9931221008301,982400,0,0.091700918972492,0.008560896851122,-0.087728224694729,0,0.001022322801873,0.001022322801873,0.016875576227903,0.522243022918701,18.7812557220459,17.199333190918
308,1645382391.94931,985600,42.0247650146484,985600,0,-0.160583153367043,0.01777515001595,-0.087892107665539,0,0.000949946348555,0.000949946348555,0.015392738394439,0.533638298511505,24.4891567230225,17.7663078308105
309,1645382414.21186,988800,33.8732833862305,988800,0,-0.232297420501709,0.00978525634855,-0.089903846383095,0,0.000803210597951,0.000803210597951,0.013452365063131,0.513611614704132,16.3073310852051,17.8783683776855
310,1645382436.12003,992000,41.0296173095703,992000,0,-0.185296088457108,0.015109728090465,-0.089746996760368,0,0.000848066003527,0.000848066003527,0.014072855934501,0.510096788406372,23.3373622894287,17.9521865844727
311,1645382457.67384,995200,36.3655204772949,995200,0,0.257291704416275,0.012900612317026,-0.088521599769592,0,0.000940297963098,0.000940297963098,0.015363061800599,0.535989940166473,18.4020366668701,17.7818126678467
312,1645382479.63667,998400,40.9512557983399,998400,0,-0.313378483057022,0.018828796222806,-0.0889732837677,0,0.000852909113746,0.000852909113746,0.013644847087562,0.535180270671845,23.2027397155762,18.1320381164551
313,1645382502.05819,1001600,36.9029846191406,1001600,0,0.741688430309296,0.011450418271124,-0.087645307183266,0,0.000919816200621,0.000919816200621,0.01454115472734,0.53084260225296,18.2220497131348,18.0154418945313
314,1645382524.53021,1004800,39.814151763916,1004800,0,-0.876908540725708,0.02190244756639,-0.08856775611639,0,0.000881160493009,0.000881160493009,0.014278847724199,0.518059313297272,22.9674243927002,17.7903003692627
