# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,rnd_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards
333,1654530992.03852,1065600,1.59963738918304,0,1.01970207691193,0.52829384803772,-0.066041715443134,0.117683164775372,0,0.014813699759543,0.014813699759543
334,1654531033.43768,1068800,1.38452219963074,0,0.431527137756348,0.901385486125946,-0.065085873007774,0.116695366799831,0,0.01594852656126,0.01594852656126
335,1654531077.19585,1072000,4.02463960647583,0,2.98857522010803,0.986784040927887,-0.065978609025478,0.115259066224098,0,0.015974245965481,0.015974245965481
336,1654531120.59083,1075200,-4.34537887573242,0,-6.90617275238037,2.51890397071838,-0.070057481527329,0.111947700381279,0,0.016322989016771,0.016322989016771
337,1654531165.09422,1078400,3.51861095428467,0,2.66543865203857,0.802272737026215,-0.062559098005295,0.113458745181561,0,0.015162765979767,0.015162765979767
338,1654531205.66555,1081600,1.02062177658081,0,-0.082309454679489,1.05444943904877,-0.064878389239311,0.113360226154327,0,0.015908068045974,0.015908068045974
339,1654531247.07726,1084800,-0.928085386753082,0,-2.27579164505005,1.29929637908936,-0.064592957496643,0.113002814352512,0,0.015327303670347,0.015327303670347
340,1654531285.5859,1088000,4.09787940979004,0,3.28487753868103,0.76253479719162,-0.062632828950882,0.113099858164787,0,0.016796318814159,0.016796318814159
341,1654531327.90711,1091200,0.718256771564483,0,-0.920048356056213,1.59231686592102,-0.067321859300137,0.113310120999813,0,0.017065338790417,0.017065338790417
342,1654531369.21635,1094400,0.336581736803055,0,-0.520713686943054,0.809302508831024,-0.064800530672073,0.112793453037739,0,0.015538706444204,0.015538706444204
343,1654531410.37347,1097600,0.291847676038742,0,-0.191754952073097,0.439308732748032,-0.067255698144436,0.111549578607082,0,0.016390485689044,0.016390485689044
344,1654531451.77402,1100800,0.191145807504654,0,-0.660981714725494,0.804976761341095,-0.06542643904686,0.112577207386494,0,0.01673224940896,0.01673224940896
345,1654531492.33048,1104000,0.081072486937046,0,-0.4730384349823,0.50832211971283,-0.066272735595703,0.112061537802219,0,0.016082216054201,0.016082216054201
346,1654531536.3906,1107200,1.32683444023132,0,0.71111935377121,0.568226039409637,-0.064844757318497,0.11233377456665,0,0.016579139977694,0.016579139977694
347,1654531574.29661,1110400,0.005201101303101,0,-0.927148401737213,0.882960200309753,-0.063360318541527,0.112749621272087,0,0.016729125753045,0.016729125753045
348,1654531616.58495,1113600,-0.670131266117096,0,-1.36863195896149,0.656298816204071,-0.068814411759377,0.111016295850277,0,0.015503007918596,0.015503007918596
349,1654531658.244,1116800,2.04499816894531,0,1.34118616580963,0.656793177127838,-0.064626634120941,0.111645355820656,0,0.0157969314605,0.0157969314605
350,1654531701.43139,1120000,1.50752508640289,0,0.933099687099457,0.530239462852478,-0.067885093390942,0.112071000039577,0,0.016417706385255,0.016417706385255
351,1654531744.99233,1123200,2.47468781471252,0,1.89508807659149,0.535735547542572,-0.067449532449246,0.111313723027706,0,0.016768859699369,0.016768859699369
352,1654531785.98861,1126400,0.360465437173843,0,-0.899444103240967,1.21920609474182,-0.069865986704826,0.110569439828396,0,0.015594368800521,0.015594368800521
353,1654531828.36891,1129600,-1.9410058259964,0,-3.31677103042603,1.33030152320862,-0.066024728119373,0.11148851364851,0,0.016532588750124,0.016532588750124
354,1654531867.30761,1132800,-0.427565366029739,0,-1.06862914562225,0.595851838588715,-0.063191749155521,0.108403705060482,0,0.015643833205104,0.015643833205104
355,1654531907.48905,1136000,1.21199405193329,0,0.614019989967346,0.5511155128479,-0.062824785709381,0.109683409333229,0,0.016196662560105,0.016196662560105
356,1654531948.51482,1139200,1.4356734752655,0,0.49138805270195,0.900277376174927,-0.06372157484293,0.107729539275169,0,0.012625363655388,0.012625363655388
357,1654531993.02515,1142400,4.78920459747314,0,4.0695538520813,0.680491626262665,-0.070947699248791,0.110106781125069,0,0.01559145655483,0.01559145655483
358,1654532033.82033,1145600,-1.54419589042664,0,-2.5319128036499,0.951540231704712,-0.07209824025631,0.108274929225445,0,0.01429720595479,0.01429720595479
359,1654532076.78177,1148800,0.107377804815769,0,-0.593970000743866,0.664389491081238,-0.070994138717651,0.107952453196049,0,0.014319058507681,0.014319058507681
360,1654532123.06343,1152000,-0.045010231435299,0,-0.636934340000153,0.559186935424805,-0.076384373009205,0.109121538698673,0,0.015718899667263,0.015718899667263
361,1654532168.12918,1155200,0.539347648620606,0,0.022465638816357,0.477721691131592,-0.073357678949833,0.112517960369587,0,0.015665393322706,0.015665393322706
362,1654532209.57118,1158400,0.862280130386352,0,0.253797352313995,0.566890060901642,-0.071114465594292,0.112707175314426,0,0.016597259789705,0.016597259789705
363,1654532251.50933,1161600,-4.10148859024048,0,-6.00975275039673,1.87059438228607,-0.072727106511593,0.110396899282932,0,0.01303643733263,0.01303643733263
364,1654532293.01812,1164800,1.48215556144714,0,0.954542696475983,0.481121957302094,-0.064568214118481,0.111059091985226,0,0.011108937673271,0.011108937673271
365,1654532336.60277,1168000,1.91394829750061,0,1.39901900291443,0.471388787031174,-0.065675601363182,0.109216146171093,0,0.012270100414753,0.012270100414753
366,1654532382.12146,1171200,2.12606120109558,0,1.67951655387878,0.401840806007385,-0.065265268087387,0.109968811273575,0,0.015054250136018,0.015054250136018
367,1654532423.33213,1174400,2.53560590744019,0,1.92007052898407,0.569769740104675,-0.065387353301048,0.111152909696102,0,0.014994612894952,0.014994612894952
368,1654532462.19637,1177600,1.03433632850647,0,-0.548211395740509,1.54119527339935,-0.066180303692818,0.107532739639282,0,0.016310604289174,0.016310604289174
369,1654532504.32509,1180800,0.094632647931576,0,-0.672869682312012,0.721536099910736,-0.06144542247057,0.107411652803421,0,0.015771392732859,0.015771392732859
