# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss,adversarial_loss,batch_action_variance
29,1654127728.37885,46400,51.5903015136719,0,-0.712538540363312,0.004428110551089,-0.048545736819506,0,0.000549634918571,0.000549634918571,0.013692327775061,0.21875,40.0911674499512,9.69956398010254,2.55622720718384,3.421875
30,1654127731.26173,48000,51.5227851867676,0.036071427166462,0.898463845252991,0.062573134899139,-0.048536092042923,0.00094687496312,0.000721487624105,0.001668362761848,0.018026711419225,0.253749996423721,38.1357040405273,9.70456886291504,2.77000856399536,3.75
31,1654127734.14549,49600,47.7850570678711,0.010914633981884,-0.699971735477448,0.007770806085318,-0.048520293086767,0.000279687490547,0.000575007929001,0.000854695448652,0.016386395320296,0.251249998807907,36.0160903930664,9.70911407470703,2.80057334899902,3.7255859375
32,1654127737.1717,51200,47.351505279541,0.008375000208616,0.275829464197159,0.010642068460584,-0.048511423170567,0.000209375008126,0.000741699011996,0.000951074063778,0.018818788230419,0.254375010728836,34.6511497497559,9.69474601745606,2.76765155792236,2.5625
33,1654127740.18782,52800,43.8066329956055,0,-0.48674863576889,0.003090632148087,-0.048510801047087,0,0.000528555654455,0.000528555654455,0.01443362981081,0.206874996423721,32.140251159668,9.69631481170654,2.50223350524902,1.8037109375
34,1654127743.26329,54400,43.1033668518066,0.024085365235806,0.770497798919678,0.032517082989216,-0.048515565693379,0.000617187528405,0.000527372292709,0.001144559704699,0.014508244581521,0.206249997019768,30.1665782928467,9.68637561798096,2.49591541290283,4.0849609375
35,1654127746.06083,56000,41.8917007446289,0.024329267442227,0.566499590873718,0.025456300005317,-0.04850597679615,0.000623437517788,0.000582468230277,0.001205905806273,0.014676759019494,0.237499997019768,29.0316734313965,9.66516876220703,2.65140891075134,2.1875
36,1654127749.30919,57600,40.1059074401856,0.026190476492047,-0.768798470497131,0.042936898767948,-0.048447079956532,0.000687499996275,0.000585689442232,0.001273189322092,0.016604335978627,0.238749995827675,28.4458389282227,9.71274852752686,2.72163152694702,5.4677734375
37,1654127752.22489,59200,39.3008651733398,0.003717948682606,-0.23235097527504,0.004639141261578,-0.048417266458273,9.06249988474883E-05,0.000569995027035,0.000660620047711,0.015408886596561,0.230000004172325,27.2229080200195,9.70634078979492,2.64774131774902,3.6162109375
38,1654127755.34995,60800,37.2044677734375,0,-0.123607195913792,0.001277778064832,-0.048424057662487,0,0.000516708299983,0.000516708299983,0.014265334233642,0.236249998211861,25.0037803649902,9.67535018920898,2.69608926773071,3.93359375
